name,pulse,quality,swh,t_p,t_m,d_p,d_m,wswh,wt_p,wt_m,wd_p,sw1_swh,sw1_t_p,sw1_d_p,sw2_swh,sw2_t_p,sw2_d_p,ide_sys,curr_speed,curr_dir,curr_x,curr_y,wspd_proc,u_x,u_y,wind_sig,wind_dir,sog_proc,cog_proc,hdg_proc
2022-11-07_18-55-27,1,1,1.5530,10.6947,9.4478,140.0000,133.0715,0.0000,0.0000,0.0000,0.0000,1.5530,8.1280,130.0000,0.0000,0.0000,0.0000,1,4.3165,313.9063,-3.1099,2.9934,7.2778,-0.2709,-0.0724,17.0229,180.0678,4.1784,317.2000,323.5000
2022-11-07_12-56-09,1,1,1.8489,12.1920,9.5259,140.0000,142.5943,0.0000,0.0000,0.0000,0.0000,1.8489,8.0211,140.0000,0.0000,0.0000,0.0000,1,4.2932,224.6682,-3.0181,-3.0533,7.4743,-0.4252,-0.1532,17.6007,195.3398,3.8902,221.8000,217.3000
2022-11-07_09-11-13,1,1,1.9609,11.2889,9.3171,140.0000,149.8256,1.9609,9.8323,7.9376,140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0.4527,294.8200,-0.4108,0.1900,7.0277,-0.3040,0.3220,16.2875,165.6230,0.1698,219.0000,137.1000
2022-11-07_06-57-48,1,1,1.4773,15.6308,11.0439,210.0000,151.0064,1.4773,16.0421,10.9168,210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.7555,341.0682,-1.5429,4.4982,7.0253,0.2752,-0.1890,16.2802,180.0000,5.0275,338.8000,345.1000
2022-11-06_16-52-09,1,1,1.6707,12.1920,10.1735,150.0000,159.1177,1.6707,11.7231,9.0853,150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.9935,258.2166,-4.8883,-1.0197,7.4699,0.1298,-0.3056,17.5878,191.0549,5.0686,261.9000,255.7000
2022-11-06_13-00-25,1,1,1.6308,12.4408,10.0998,160.0000,163.7655,1.6308,8.9647,8.4882,160.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,5.0272,257.5421,-4.9089,-1.0845,6.4573,0.1070,-0.2541,14.6097,144.9726,5.0841,260.6000,257.2000
2022-11-06_10-58-58,1,1,1.4512,11.7231,10.7397,210.0000,201.1575,1.4512,11.7231,9.1961,210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.7617,297.0789,-4.2397,2.1676,7.3146,0.2070,-0.0884,17.1312,173.4507,4.9863,296.9000,298.2000
2022-11-06_06-58-49,1,1,1.3846,11.9529,10.9485,210.0000,216.1224,1.3846,11.9529,9.7432,210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.7544,302.9511,-3.9896,2.5860,7.1229,0.1336,-0.0306,16.5674,198.2664,4.8834,302.4000,304.0000
2022-11-05_16-59-57,1,1,1.3830,10.5103,10.5947,210.0000,245.9954,0.0000,0.0000,0.0000,0.0000,1.3830,10.3322,200.0000,0.0000,0.0000,0.0000,1,4.1566,161.9502,1.2879,-3.9520,7.5232,-0.0846,-0.0327,17.7448,107.3363,4.1527,160.7000,157.3000
2022-11-05_12-58-56,1,1,1.4476,14.1767,11.3031,210.0000,202.6978,1.4476,13.8545,10.0846,210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.6904,295.0438,-4.2495,1.9855,7.2491,0.1392,-0.0238,16.9386,185.2324,4.8268,294.6000,296.7000
